organizations,count,first_date,last_date,lat,lon
Public Force and Civil Guard,1,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
Facebook,22,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
São Paulo,1,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
Occupy Sampa,1,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
Federal University of Minas Gerais,1,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
UFMG,1,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
Brazil Global Justice,1,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
University of São Paulo,1,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
Amnesty International,2,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
UN Human Rights Council,1,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
US Department of State,1,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
First National Conference on Public Security,1,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
National Secretariat of Public Security,1,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
PEC,3,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
National Association of Prosecutors of the Republic,1,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
National Security Council,1,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
Defense of Human Rights Rio de Paz,1,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
Jornal do Brasil,1,2013-07-31 05:00:35 -0400,2013-07-31 05:00:35 -0400,,
Midia Ninja,3,2013-08-14 06:01:59 -0400,2013-08-14 06:01:59 -0400,,
Agencia Publica,1,2013-08-14 06:01:59 -0400,2013-08-14 06:01:59 -0400,,
Sao Paulo Department of Homicide and Protection of Civil Police Personnel,1,2013-08-21 14:22:49 -0400,2013-08-21 14:22:49 -0400,,
Muslim,1,2013-08-21 14:22:49 -0400,2013-08-21 14:22:49 -0400,,
Partido dos Trabalhadores,1,2013-08-21 14:22:49 -0400,2013-08-21 14:22:49 -0400,,
Military Police,2,2013-08-21 14:22:49 -0400,2013-08-21 14:22:49 -0400,,
Movement of Homeless Workers,1,2013-08-21 14:22:49 -0400,2013-08-21 14:22:49 -0400,,
Movimento dos Trabalhadores Sem Teto,1,2013-08-21 14:22:49 -0400,2013-08-21 14:22:49 -0400,,
Unified Socialist Workers' Party,1,2013-08-21 14:22:49 -0400,2013-08-21 14:22:49 -0400,,
PSTU,1,2013-08-21 14:22:49 -0400,2013-08-21 14:22:49 -0400,,
Partido Socialista dos Trabalhadores Unificado,1,2013-08-21 14:22:49 -0400,2013-08-21 14:22:49 -0400,,
Rio People's World Cup,5,2013-03-01 06:03:12 -0500,2013-03-04 04:00:18 -0500,,
Comitê Popular Rio Copa,2,2013-03-01 06:03:12 -0500,2013-03-04 04:00:18 -0500,,
Olympics Committee,2,2013-03-01 06:03:12 -0500,2013-03-01 06:03:12 -0500,,
Rio People's World Cup and Olympics Committee,1,2013-03-01 06:03:12 -0500,2013-03-01 06:03:12 -0500,,
Recreio dos Bandeirantes,1,2013-03-04 04:00:18 -0500,2013-03-04 04:00:18 -0500,,
SMH,1,2013-03-04 04:00:18 -0500,2013-03-04 04:00:18 -0500,,
Committee of Residents,1,2013-03-04 04:00:18 -0500,2013-03-04 04:00:18 -0500,,
Cria Cultura,1,2013-03-05 04:00:43 -0500,2013-03-05 04:00:43 -0500,,
Local Committee,1,2013-03-05 04:00:43 -0500,2013-03-05 04:00:43 -0500,,
Eixo House,1,2013-03-10 18:17:28 -0400,2013-03-10 18:17:28 -0400,,
Pública,1,2013-03-10 18:17:28 -0400,2013-03-10 18:17:28 -0400,,
International Federation of Association Football,1,2013-03-10 18:17:28 -0400,2013-03-10 18:17:28 -0400,,
FIFA,12,2013-03-10 18:17:28 -0400,2013-06-27 18:30:39 -0400,,
Articulação Nacional dos Comitês Populares da Copa,1,2013-03-10 18:17:28 -0400,2013-03-10 18:17:28 -0400,,
Diário Liberdade,1,2013-03-25 09:45:52 -0400,2013-03-25 09:45:52 -0400,,
Freedom Party,1,2013-03-25 09:45:52 -0400,2013-03-25 09:45:52 -0400,,
Fluminense Federal University,1,2013-03-25 09:45:52 -0400,2013-03-25 09:45:52 -0400,,
Radial Oeste,1,2013-03-25 09:45:52 -0400,2013-03-25 09:45:52 -0400,,
Committee for Human Rights,1,2013-03-25 09:45:52 -0400,2013-03-25 09:45:52 -0400,,
Legislative Assembly of Rio de Janeiro,1,2013-03-25 09:45:52 -0400,2013-03-25 09:45:52 -0400,,
Slums News Agency,1,2013-03-25 09:45:52 -0400,2013-03-25 09:45:52 -0400,,
Direitos Humanos do Estado,1,2013-03-25 09:45:52 -0400,2013-03-25 09:45:52 -0400,,
State Secretary for Social Service and Human Rights,1,2013-03-25 09:45:52 -0400,2013-03-25 09:45:52 -0400,,
Socialism and Freedom Party,1,2013-03-25 09:45:52 -0400,2013-03-25 09:45:52 -0400,,
Porto Alegre,6,2013-04-02 07:17:51 -0400,2013-06-18 10:15:56 -0400,,
City Council,3,2013-04-02 07:17:51 -0400,2013-04-02 07:17:51 -0400,,
Gasômetro Power Plant,2,2013-04-02 07:17:51 -0400,2013-04-02 07:17:51 -0400,,
City Council Environment Department,1,2013-04-02 07:17:51 -0400,2013-04-02 07:17:51 -0400,,
Secretaria Municipal do Meio Ambiente,1,2013-04-02 07:17:51 -0400,2013-04-02 07:17:51 -0400,,
Public Traffic and Transport Agency,1,2013-04-02 07:17:51 -0400,2013-04-02 07:17:51 -0400,,
Empresa Pública de Transporte Circulação,1,2013-04-02 07:17:51 -0400,2013-04-02 07:17:51 -0400,,
Gasômetro Power Plant and Pinheiro Borda Avenue,1,2013-04-02 07:17:51 -0400,2013-04-02 07:17:51 -0400,,
SMAM,1,2013-04-02 07:17:51 -0400,2013-04-02 07:17:51 -0400,,
Committee on Health,1,2013-04-02 07:17:51 -0400,2013-04-02 07:17:51 -0400,,
EPTC,1,2013-04-02 07:17:51 -0400,2013-04-02 07:17:51 -0400,,
Porto Imagem,1,2013-04-02 07:17:51 -0400,2013-04-02 07:17:51 -0400,,
