organizations,count,first_date,last_date,lat,lon
Agriculture Organization of the United Nations,2,2010-07-25 06:46:56 -0400,2010-07-25 06:46:56 -0400,,
Penn State University,1,2010-07-25 06:46:56 -0400,2010-07-25 06:46:56 -0400,,
GM,10,2010-07-25 06:46:56 -0400,2010-08-18 17:36:31 -0400,,
Melinda Gates Foundation,1,2010-07-25 06:46:56 -0400,2010-07-25 06:46:56 -0400,,
GMO,3,2010-07-25 06:46:56 -0400,2010-07-25 06:46:56 -0400,,
Monsanto,2,2010-07-25 06:46:56 -0400,2010-07-25 06:46:56 -0400,,
Pulitzer Center,1,2010-07-30 10:59:11 -0400,2010-07-30 10:59:11 -0400,,
8th International Wheat Conference,1,2010-07-30 10:59:11 -0400,2010-07-30 10:59:11 -0400,,
Federation of American Scientists,1,2010-07-30 10:59:11 -0400,2010-07-30 10:59:11 -0400,,
Red Green,1,2010-07-30 10:59:11 -0400,2010-07-30 10:59:11 -0400,,
German Rosa Luxemburg Foundation,1,2010-08-18 17:36:31 -0400,2010-08-18 17:36:31 -0400,,
Syngenta,1,2010-08-18 17:36:31 -0400,2010-08-18 17:36:31 -0400,,
ABC Color,1,2010-08-18 17:36:31 -0400,2010-08-18 17:36:31 -0400,,
World Bank,2,2010-09-10 16:51:53 -0400,2010-09-13 14:36:26 -0400,,
Kyiv Post,1,2010-09-10 16:51:53 -0400,2010-09-10 16:51:53 -0400,,
U.N.,5,2010-09-10 16:51:53 -0400,2010-09-10 16:51:53 -0400,,
Dow Jones Newswires,1,2010-09-10 16:51:53 -0400,2010-09-10 16:51:53 -0400,,
WFP,1,2010-09-10 16:51:53 -0400,2010-09-10 16:51:53 -0400,,
U.N. Food and Agriculture Organization,2,2010-09-10 16:51:53 -0400,2010-09-10 16:51:53 -0400,,
University of Houston,1,2010-09-10 16:51:53 -0400,2010-09-10 16:51:53 -0400,,
Delta Oil Disaster,1,2010-09-13 14:36:26 -0400,2010-09-13 14:36:26 -0400,,
Socialist Youth League,1,2010-09-13 14:36:26 -0400,2010-09-13 14:36:26 -0400,,
agriculture ministry,1,2010-09-13 14:36:26 -0400,2010-09-13 14:36:26 -0400,,
Amnesty International,1,2010-09-13 14:36:26 -0400,2010-09-13 14:36:26 -0400,,
Niger Delta,2,2010-09-13 14:36:26 -0400,2010-09-13 14:36:26 -0400,,
Shell,1,2010-09-13 14:36:26 -0400,2010-09-13 14:36:26 -0400,,
Youth Council,1,2010-09-13 14:36:26 -0400,2010-09-13 14:36:26 -0400,,
The Black Bottom Blog,1,2010-09-13 14:36:26 -0400,2010-09-13 14:36:26 -0400,,
Vanguard,1,2010-09-13 14:36:26 -0400,2010-09-13 14:36:26 -0400,,
