organizations,count,first_date,last_date,lat,lon
EastSouthWestNorth,1,2010-01-10 23:46:48 -0500,2010-01-10 23:46:48 -0500,,
Chinese Communist Party,1,2010-01-10 23:46:48 -0500,2010-01-10 23:46:48 -0500,,
Desde el Gobierno Regional del Cusco,1,2010-01-27 13:16:28 -0500,2010-01-27 13:16:28 -0500,,
Crío de la Niebla,1,2010-01-27 13:16:28 -0500,2010-01-27 13:16:28 -0500,,
El Comercio,1,2010-01-27 13:16:28 -0500,2010-01-27 13:16:28 -0500,,
European Union,2,2010-02-26 17:00:48 -0500,2010-12-31 03:46:44 -0500,,
Coastal Wall,1,2010-03-04 22:40:30 -0500,2010-03-04 22:40:30 -0500,,
Western Journey,1,2010-03-04 22:40:30 -0500,2010-03-04 22:40:30 -0500,,
Google,9,2010-03-04 22:40:30 -0500,2010-12-28 08:58:27 -0500,,
Picasa,1,2010-05-03 13:03:47 -0400,2010-05-03 13:03:47 -0400,,
Khlong Toei,1,2010-05-18 00:58:07 -0400,2010-05-18 00:58:07 -0400,,
CRES,1,2010-05-18 00:58:07 -0400,2010-05-18 00:58:07 -0400,,
Ramkhamhaeng,1,2010-05-18 00:58:07 -0400,2010-05-18 00:58:07 -0400,,
CNN,2,2010-05-18 00:58:07 -0400,2010-05-18 00:58:07 -0400,,
Air-India Express,3,2010-05-22 08:43:34 -0400,2010-12-30 16:44:29 -0500,,
Air India,3,2010-05-22 08:43:34 -0400,2010-05-22 08:43:34 -0400,,
Indian Airlines,1,2010-05-22 08:43:34 -0400,2010-05-22 08:43:34 -0400,,
Facebook,11,2010-05-22 08:43:34 -0400,2010-12-30 16:44:29 -0500,,
R.I.P. Victims of Air India Plane Crash,1,2010-05-22 08:43:34 -0400,2010-05-22 08:43:34 -0400,,
San Francisco de Sales,1,2010-05-28 03:45:10 -0400,2010-05-28 03:45:10 -0400,,
Villa Nueva,1,2010-05-28 03:45:10 -0400,2010-05-28 03:45:10 -0400,,
Guatemalan National Disaster Prevention Commission,1,2010-05-28 03:45:10 -0400,2010-05-28 03:45:10 -0400,,
Jose Joaquin de Olmedo Intenational Aiport,1,2010-05-29 10:52:38 -0400,2010-05-29 10:52:38 -0400,,
Geophysics Institute  of Polytechnical School,1,2010-05-29 10:52:38 -0400,2010-05-29 10:52:38 -0400,,
Juive Chico,1,2010-05-29 10:52:38 -0400,2010-05-29 10:52:38 -0400,,
Juive Grande,1,2010-05-29 10:52:38 -0400,2010-05-29 10:52:38 -0400,,
Enlace Ecuador,1,2010-05-29 10:52:38 -0400,2010-05-29 10:52:38 -0400,,
TV Globo Galvão Bueno,1,2010-06-13 20:08:51 -0400,2010-06-13 20:08:51 -0400,,
TV Globo,1,2010-06-13 20:08:51 -0400,2010-06-13 20:08:51 -0400,,
FIFA,1,2010-06-13 20:08:51 -0400,2010-06-13 20:08:51 -0400,,
Estados Unidos,1,2010-06-13 20:08:51 -0400,2010-06-13 20:08:51 -0400,,
Greenpeace,2,2010-06-13 20:08:51 -0400,2010-06-13 20:08:51 -0400,,
NGO Greenpeace,1,2010-06-13 20:08:51 -0400,2010-06-13 20:08:51 -0400,,
CALA BOCA GALVAO  Foundation,1,2010-06-13 20:08:51 -0400,2010-06-13 20:08:51 -0400,,
Gente,1,2010-06-13 20:08:51 -0400,2010-06-13 20:08:51 -0400,,
Sana Saleem,2,2010-12-14 13:43:55 -0500,2010-12-14 13:43:55 -0500,,
Technology for Transparency Network,1,2010-12-14 13:43:55 -0500,2010-12-14 13:43:55 -0500,,
La Stampa,1,2010-12-14 13:43:55 -0500,2010-12-14 13:43:55 -0500,,
BBC Online,1,2010-12-14 13:43:55 -0500,2010-12-14 13:43:55 -0500,,
Wikipedia,1,2010-12-20 02:15:06 -0500,2010-12-20 02:15:06 -0500,,
NASA,1,2010-12-20 02:15:06 -0500,2010-12-20 02:15:06 -0500,,
Wikimedia Commons,1,2010-12-20 02:15:06 -0500,2010-12-20 02:15:06 -0500,,
Samsung,1,2010-12-20 02:15:06 -0500,2010-12-20 02:15:06 -0500,,
Lotte Mart,1,2010-12-20 02:15:06 -0500,2010-12-20 02:15:06 -0500,,
ECFA,1,2010-12-21 06:09:11 -0500,2010-12-21 06:09:11 -0500,,
U.S. Institute of Peace,1,2010-12-23 14:26:15 -0500,2010-12-23 14:26:15 -0500,,
Caucasus Conflict Voices,1,2010-12-23 14:26:15 -0500,2010-12-23 14:26:15 -0500,,
Imedi TV,1,2010-12-23 14:26:15 -0500,2010-12-23 14:26:15 -0500,,
U.S. Congress,1,2010-12-23 14:26:15 -0500,2010-12-23 14:26:15 -0500,,
BBC,1,2010-12-23 14:26:15 -0500,2010-12-23 14:26:15 -0500,,
University of Puerto Rico,2,2010-12-24 13:59:47 -0500,2010-12-24 13:59:47 -0500,,
Monsanto,1,2010-12-24 13:59:47 -0500,2010-12-24 13:59:47 -0500,,
UN,1,2010-12-24 13:59:47 -0500,2010-12-24 13:59:47 -0500,,
Catholic Church,1,2010-12-24 13:59:47 -0500,2010-12-24 13:59:47 -0500,,
Global Voices Caribbean Team,1,2010-12-24 13:59:47 -0500,2010-12-24 13:59:47 -0500,,
Firuzeh Shokooh Valle,1,2010-12-24 13:59:47 -0500,2010-12-24 13:59:47 -0500,,
