organizations,count,first_date,last_date,lat,lon
CTG,1,2008-12-17 21:18:32 -0500,2008-12-17 21:18:32 -0500,,
Mocoronga Network,4,2009-02-19 11:57:23 -0500,2009-02-19 11:57:23 -0500,,
Amazon,1,2009-02-19 11:57:23 -0500,2009-02-19 11:57:23 -0500,,
NGO Saúde &amp; Alegria,1,2009-02-19 11:57:23 -0500,2009-02-19 11:57:23 -0500,,
NGO,2,2009-02-19 11:57:23 -0500,2009-02-19 11:57:23 -0500,,
PSA,3,2009-02-19 11:57:23 -0500,2009-02-19 11:57:23 -0500,,
PA,1,2009-02-19 11:57:23 -0500,2009-02-19 11:57:23 -0500,,
FSM,1,2009-02-19 11:57:23 -0500,2009-02-19 11:57:23 -0500,,
WSF,1,2009-02-19 11:57:23 -0500,2009-02-19 11:57:23 -0500,,
Rede Mocoronga,1,2009-02-19 11:57:23 -0500,2009-02-19 11:57:23 -0500,,
Rockefeller  Foundation,1,2009-02-23 01:21:53 -0500,2009-02-23 01:21:53 -0500,,
United Nations Foundation,1,2009-02-23 01:21:53 -0500,2009-02-23 01:21:53 -0500,,
Vodafone Foundation,1,2009-02-23 01:21:53 -0500,2009-02-23 01:21:53 -0500,,
Mobile Health  Alliance,1,2009-02-23 01:21:53 -0500,2009-02-23 01:21:53 -0500,,
Mobile World Congress,1,2009-02-23 01:21:53 -0500,2009-02-23 01:21:53 -0500,,
Rockefellers,1,2009-08-10 18:18:38 -0400,2009-08-10 18:18:38 -0400,,
LifeStraw Family,1,2009-08-10 18:18:38 -0400,2009-08-10 18:18:38 -0400,,
Nakuru Players Theater Club,1,2009-08-31 14:50:50 -0400,2009-08-31 14:50:50 -0400,,
MCCJEX,1,2009-08-31 14:50:50 -0400,2009-08-31 14:50:50 -0400,,
Public Health Editor,1,2009-08-31 14:50:50 -0400,2009-08-31 14:50:50 -0400,,
International Film Festival,1,2009-05-21 18:15:54 -0400,2009-05-21 18:15:54 -0400,,
UNICEF,2,2009-06-05 11:34:05 -0400,2009-10-28 15:04:51 -0400,,
Jamaica Gleaner,2,2009-06-05 11:34:05 -0400,2009-06-05 11:34:05 -0400,,
Lens,1,2009-11-06 17:42:44 -0500,2009-11-06 17:42:44 -0500,,
European Cultural Foundation,1,2009-11-30 02:38:08 -0500,2009-11-30 02:38:08 -0500,,
Unicef,1,2009-11-30 02:38:08 -0500,2009-11-30 02:38:08 -0500,,
Mstari Wa Nne,1,2009-12-07 02:17:01 -0500,2009-12-07 02:17:01 -0500,,
Global Health Council,1,2009-12-07 02:17:01 -0500,2009-12-07 02:17:01 -0500,,
Amazon.com,1,2009-10-05 07:09:06 -0400,2009-10-05 07:09:06 -0400,,
Google,2,2009-10-05 07:09:06 -0400,2010-06-29 23:19:35 -0400,,
Microsoft,1,2009-10-05 07:09:06 -0400,2009-10-05 07:09:06 -0400,,
Communication Technologies,1,2009-10-05 07:09:06 -0400,2009-10-05 07:09:06 -0400,,
ICTs,3,2009-10-05 07:09:06 -0400,2009-10-05 07:09:06 -0400,,
Rebecca Project for Human Rights,1,2009-10-24 15:48:54 -0400,2009-10-24 15:48:54 -0400,,
Amnesty International,2,2009-10-24 15:48:54 -0400,2009-10-28 15:04:51 -0400,,
Too Much Time,1,2009-10-24 15:48:54 -0400,2009-10-24 15:48:54 -0400,,
Daily Express,1,2009-10-24 15:48:54 -0400,2009-10-24 15:48:54 -0400,,
NorteCastilla,1,2009-10-24 15:48:54 -0400,2009-10-24 15:48:54 -0400,,
Kebby Warner,1,2009-10-24 15:48:54 -0400,2009-10-24 15:48:54 -0400,,
White Ribbon Alliance,1,2009-10-28 15:04:51 -0400,2009-10-28 15:04:51 -0400,,
Human Rights Watch,1,2009-10-28 15:04:51 -0400,2009-10-28 15:04:51 -0400,,
University of Sydney,1,2009-10-28 15:04:51 -0400,2009-10-28 15:04:51 -0400,,
Arhuaco Indians,1,2010-02-12 17:44:49 -0500,2010-02-12 17:44:49 -0500,,
Ethiopian-American,1,2010-02-12 17:44:49 -0500,2010-02-12 17:44:49 -0500,,
Obraje Community,1,2010-02-12 17:44:49 -0500,2010-02-12 17:44:49 -0500,,
Intl School of Art,1,2010-02-26 10:30:12 -0500,2010-02-26 10:30:12 -0500,,
Albright College,1,2010-02-26 10:30:12 -0500,2010-02-26 10:30:12 -0500,,
ISABT,1,2010-02-26 10:30:12 -0500,2010-02-26 10:30:12 -0500,,
PTA,1,2010-02-26 10:30:12 -0500,2010-02-26 10:30:12 -0500,,
Kakum Oda,1,2010-02-26 10:30:12 -0500,2010-02-26 10:30:12 -0500,,
Elmina Authors,1,2010-02-26 10:30:12 -0500,2010-02-26 10:30:12 -0500,,
Facebook,2,2010-02-26 10:30:12 -0500,2010-03-14 20:09:38 -0400,,
OPIM,2,2010-07-01 23:52:34 -0400,2010-07-01 23:52:34 -0400,,
STD,1,2010-07-06 22:16:21 -0400,2010-07-06 22:16:21 -0400,,
Fourah Bay College,1,2010-07-06 22:16:21 -0400,2010-07-06 22:16:21 -0400,,
Blue Star Network,1,2010-07-06 22:16:21 -0400,2010-07-06 22:16:21 -0400,,
United Nations-backed,1,2010-07-07 09:26:09 -0400,2010-07-07 09:26:09 -0400,,
Pinoy Catholic,1,2010-07-07 09:26:09 -0400,2010-07-07 09:26:09 -0400,,
Department of Education,1,2010-07-07 09:26:09 -0400,2010-07-07 09:26:09 -0400,,
Party,1,2010-07-07 09:26:09 -0400,2010-07-07 09:26:09 -0400,,
FSC,1,2010-07-07 09:26:09 -0400,2010-07-07 09:26:09 -0400,,
Catholic Church,1,2010-07-07 09:26:09 -0400,2010-07-07 09:26:09 -0400,,
Ministry of Economy and Commerce,1,2010-07-08 14:16:27 -0400,2010-07-08 14:16:27 -0400,,
United Nations World Food Programme,1,2010-07-12 19:59:05 -0400,2010-07-12 19:59:05 -0400,,
Areva,1,2010-07-12 19:59:05 -0400,2010-07-12 19:59:05 -0400,,
European Commission Humanitarian Aid,1,2010-07-12 19:59:05 -0400,2010-07-12 19:59:05 -0400,,
Agriculture Organization of the United Nations,1,2010-07-25 06:46:56 -0400,2010-07-25 06:46:56 -0400,,
Penn State University,1,2010-07-25 06:46:56 -0400,2010-07-25 06:46:56 -0400,,
GM,9,2010-07-25 06:46:56 -0400,2010-07-25 06:46:56 -0400,,
Melinda Gates Foundation,1,2010-07-25 06:46:56 -0400,2010-07-25 06:46:56 -0400,,
GMO,3,2010-07-25 06:46:56 -0400,2010-07-25 06:46:56 -0400,,
Monsanto,2,2010-07-25 06:46:56 -0400,2010-07-25 06:46:56 -0400,,
Tribunal Supremo de Justicia,1,2010-07-28 20:14:59 -0400,2010-07-28 20:14:59 -0400,,
Supreme Court of Justice,1,2010-07-28 20:14:59 -0400,2010-07-28 20:14:59 -0400,,
Grameen Bank Office,1,2010-08-05 15:14:24 -0400,2010-08-05 15:14:24 -0400,,
Master of Public Administration,1,2010-08-05 15:14:24 -0400,2010-08-05 15:14:24 -0400,,
Northern Kentucky University,1,2010-08-05 15:14:24 -0400,2010-08-05 15:14:24 -0400,,
MPA,1,2010-08-05 15:14:24 -0400,2010-08-05 15:14:24 -0400,,
NKU,2,2010-08-05 15:14:24 -0400,2010-08-05 15:14:24 -0400,,
Grameen Education,1,2010-08-05 15:14:24 -0400,2010-08-05 15:14:24 -0400,,
Grameen Fisheries,2,2010-08-05 15:14:24 -0400,2010-08-05 15:14:24 -0400,,
Danone,1,2010-08-05 15:14:24 -0400,2010-08-05 15:14:24 -0400,,
Grameen Bank,2,2010-08-05 15:14:24 -0400,2010-08-05 15:14:24 -0400,,
Wellesley College,1,2010-08-07 13:16:09 -0400,2010-08-07 13:16:09 -0400,,
Harambe Endeavor Alliance,1,2010-08-07 13:16:09 -0400,2010-08-07 13:16:09 -0400,,
Public Resource Management Group for Alternative Research,1,2010-08-07 13:16:09 -0400,2010-08-07 13:16:09 -0400,,
Savoir News,1,2010-08-07 13:16:09 -0400,2010-08-07 13:16:09 -0400,,
Committee,1,2010-08-07 13:16:09 -0400,2010-08-07 13:16:09 -0400,,
UN,12,2010-08-11 18:07:09 -0400,2010-09-22 19:09:42 -0400,,
World Bank World Development Indicators,1,2010-08-11 18:07:09 -0400,2010-08-11 18:07:09 -0400,,
Gartner Research,1,2010-08-11 18:07:09 -0400,2010-08-11 18:07:09 -0400,,
ICT,1,2010-08-11 18:07:09 -0400,2010-08-11 18:07:09 -0400,,
Computer Aid International,1,2010-08-11 18:07:09 -0400,2010-08-11 18:07:09 -0400,,
Electronic Equipment,1,2010-08-11 18:07:09 -0400,2010-08-11 18:07:09 -0400,,
Aida Sefic Williams,1,2010-08-11 18:07:09 -0400,2010-08-11 18:07:09 -0400,,
Dream Mail,2,2010-03-14 20:09:38 -0400,2010-03-14 20:09:38 -0400,,
NAPATV,1,2010-05-08 09:09:25 -0400,2010-05-08 09:09:25 -0400,,
Caribbean Kids Network,1,2010-05-08 09:09:25 -0400,2010-05-08 09:09:25 -0400,,
Kids News Network,1,2010-05-08 09:09:25 -0400,2010-05-08 09:09:25 -0400,,
Shell,2,2010-06-26 18:01:02 -0400,2010-06-26 18:01:02 -0400,,
HEPCA,1,2010-06-26 18:01:02 -0400,2010-06-26 18:01:02 -0400,,
Amazon Jungle,1,2010-06-26 18:01:02 -0400,2010-06-26 18:01:02 -0400,,
Pluspetrol,2,2010-06-26 18:01:02 -0400,2010-06-26 18:01:02 -0400,,
Chevron,1,2010-06-26 18:01:02 -0400,2010-06-26 18:01:02 -0400,,
Co-Executive Director of Education Without Borders International,1,2010-06-29 23:19:35 -0400,2010-06-29 23:19:35 -0400,,
Nokia,1,2010-06-29 23:19:35 -0400,2010-06-29 23:19:35 -0400,,
Pearson Foundation,1,2010-06-29 23:19:35 -0400,2010-06-29 23:19:35 -0400,,
county party,1,2010-09-06 03:57:16 -0400,2010-09-06 03:57:16 -0400,,
NGOs,2,2010-09-06 03:57:16 -0400,2010-09-22 19:09:42 -0400,,
1st People's Hospital,1,2010-09-06 03:57:16 -0400,2010-09-06 03:57:16 -0400,,
DALY,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
EPA,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
EU,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
London School of Hygiene and Tropical Medicine,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
UNAM,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
Federal University of Rio de Janeiro,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
University of Linköping,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
UC Davis,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
MDG,6,2010-09-13 12:10:44 -0400,2010-09-22 19:09:42 -0400,,
World Commission,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
World Water Council,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
Stockholm Water Institute,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
WaterAid,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
International Water Management Institute,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
IWMI,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
World Commision,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
ex-World Bank,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
PepsiCo,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
Unilever,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
McKinsey &amp; Co,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
ITT,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
Black &amp; Veatch,1,2010-09-13 12:10:44 -0400,2010-09-13 12:10:44 -0400,,
Caritas Australia,1,2010-09-22 11:24:44 -0400,2010-09-22 11:24:44 -0400,,
Australian Reproductive Health Alliance,1,2010-09-22 11:24:44 -0400,2010-09-22 11:24:44 -0400,,
United Nations Department of Public Information UN DPI/NGO Conference,1,2010-09-22 11:24:44 -0400,2010-09-22 11:24:44 -0400,,
Amnesty International Australia,1,2010-09-22 11:24:44 -0400,2010-09-22 11:24:44 -0400,,
United Nations,6,2010-09-22 11:24:44 -0400,2010-09-22 19:09:42 -0400,,
ActionAid,3,2010-09-22 11:24:44 -0400,2010-09-22 11:24:44 -0400,,
MDGs,2,2010-09-22 11:24:44 -0400,2010-09-22 11:24:44 -0400,,
UN General Assembly,3,2010-09-22 19:09:42 -0400,2010-09-22 19:09:42 -0400,,
Security Council,3,2010-09-22 19:09:42 -0400,2010-09-22 19:09:42 -0400,,
UN MDG,1,2010-09-22 19:09:42 -0400,2010-09-22 19:09:42 -0400,,
UNGA,1,2010-09-22 19:09:42 -0400,2010-09-22 19:09:42 -0400,,
UN Foundation,1,2010-09-22 19:09:42 -0400,2010-09-22 19:09:42 -0400,,
UN Week Digital Media Lounge,1,2010-09-22 19:09:42 -0400,2010-09-22 19:09:42 -0400,,
General Assembly,1,2010-09-25 17:15:59 -0400,2010-09-25 17:15:59 -0400,,
UN Millennium Development Goals,1,2010-09-25 17:15:59 -0400,2010-09-25 17:15:59 -0400,,
Columbia University,1,2010-09-25 17:15:59 -0400,2010-09-25 17:15:59 -0400,,
U.N.,4,2010-10-08 01:46:13 -0400,2010-10-08 01:46:13 -0400,,
Agriculture Organization,1,2010-10-08 01:46:13 -0400,2010-10-08 01:46:13 -0400,,
FAO,1,2010-10-08 01:46:13 -0400,2010-10-08 01:46:13 -0400,,
International Development,1,2010-10-08 01:46:13 -0400,2010-10-08 01:46:13 -0400,,
Global Network for Neglected Tropical Diseases,1,2010-10-08 01:46:13 -0400,2010-10-08 01:46:13 -0400,,
Oxfam,1,2010-10-08 01:46:13 -0400,2010-10-08 01:46:13 -0400,,
