organizations,count,first_date,last_date,lat,lon
National Assembly,2,2010-04-12 14:24:14 -0400,2010-04-12 14:24:14 -0400,,
SPLM,19,2010-04-12 14:24:14 -0400,2010-04-15 14:12:14 -0400,,
Sudan People's Liberation Movement,1,2010-04-12 14:24:14 -0400,2010-04-12 14:24:14 -0400,,
National Legislative Assembly,1,2010-04-12 14:24:14 -0400,2010-04-12 14:24:14 -0400,,
Southern Sudan Legislative Assembly,2,2010-04-12 14:24:14 -0400,2010-04-12 14:24:14 -0400,,
State Assembly,1,2010-04-12 14:24:14 -0400,2010-04-12 14:24:14 -0400,,
NEC,14,2010-04-12 14:24:14 -0400,2010-04-22 12:18:09 -0400,,
SPLM Southern Sector,1,2010-04-12 14:24:14 -0400,2010-04-12 14:24:14 -0400,,
National Election Commission,2,2010-04-12 14:24:14 -0400,2010-04-15 14:12:14 -0400,,
University of Khartoum,1,2010-04-12 14:24:14 -0400,2010-04-12 14:24:14 -0400,,
Facebook,4,2010-04-12 14:24:14 -0400,2010-04-12 14:24:14 -0400,,
Sudan Institute for Research,1,2010-04-12 14:24:14 -0400,2010-04-12 14:24:14 -0400,,
Asmaa Society,1,2010-04-12 14:24:14 -0400,2010-04-12 14:24:14 -0400,,
National Congress Party,4,2010-04-15 14:12:14 -0400,2010-04-22 12:18:09 -0400,,
Carter Center,1,2010-04-15 14:12:14 -0400,2010-04-15 14:12:14 -0400,,
Sudan Tribune,1,2010-04-15 14:12:14 -0400,2010-04-15 14:12:14 -0400,,
Northern Sudan,1,2010-04-15 14:12:14 -0400,2010-04-15 14:12:14 -0400,,
Southern Sudan,1,2010-04-15 14:12:14 -0400,2010-04-15 14:12:14 -0400,,
DC,1,2010-04-16 09:30:06 -0400,2010-04-16 09:30:06 -0400,,
Sudan People’s Liberation Army,1,2010-04-16 09:30:06 -0400,2010-04-16 09:30:06 -0400,,
SPLA,1,2010-04-16 09:30:06 -0400,2010-04-16 09:30:06 -0400,,
Girifna,1,2010-04-16 09:30:06 -0400,2010-04-16 09:30:06 -0400,,
National Electoral Commission,1,2010-04-16 09:30:06 -0400,2010-04-16 09:30:06 -0400,,
Reuters,2,2010-04-16 09:30:06 -0400,2010-04-22 12:18:09 -0400,,
Umma,1,2010-04-16 09:30:06 -0400,2010-04-16 09:30:06 -0400,,
Sudan People’s Liberation Movement,1,2010-04-16 09:30:06 -0400,2010-04-16 09:30:06 -0400,,
National Elections Commission,3,2010-04-22 12:18:09 -0400,2010-04-29 00:13:39 -0400,,
BBC,4,2010-04-22 12:18:09 -0400,2010-04-22 12:18:09 -0400,,
Washington Post,2,2010-04-22 12:18:09 -0400,2010-04-22 12:18:09 -0400,,
EPRDF,1,2010-04-22 12:18:09 -0400,2010-04-22 12:18:09 -0400,,
CNN,1,2010-04-22 12:18:09 -0400,2010-04-22 12:18:09 -0400,,
IGAD,1,2010-04-23 13:40:25 -0400,2010-04-23 13:40:25 -0400,,
White House,1,2010-04-23 13:40:25 -0400,2010-04-23 13:40:25 -0400,,
United Nations,2,2010-04-23 13:40:25 -0400,2010-04-29 00:13:39 -0400,,
South Sudan Elections High Committee,1,2010-04-23 13:40:25 -0400,2010-04-23 13:40:25 -0400,,
The National Telecommunication Corporation,1,2010-04-26 13:39:38 -0400,2010-04-26 13:39:38 -0400,,
NTC,1,2010-04-26 13:39:38 -0400,2010-04-26 13:39:38 -0400,,
Committee,1,2010-04-26 13:39:38 -0400,2010-04-26 13:39:38 -0400,,
Skype,1,2010-04-29 00:13:39 -0400,2010-04-29 00:13:39 -0400,,
NCP,2,2010-05-03 13:33:03 -0400,2010-05-03 13:33:03 -0400,,
Central
Equatoria,1,2010-05-03 13:33:03 -0400,2010-05-03 13:33:03 -0400,,
SPLM Candidate,1,2010-05-03 13:33:03 -0400,2010-05-03 13:33:03 -0400,,
Sudanese Group for Democracy,1,2010-05-03 13:33:03 -0400,2010-05-03 13:33:03 -0400,,
Blue Nile,1,2010-05-03 13:33:03 -0400,2010-05-03 13:33:03 -0400,,
State Legislative Assembly,2,2010-05-03 13:33:03 -0400,2010-05-03 13:33:03 -0400,,
New York Times,1,2010-05-03 13:33:03 -0400,2010-05-03 13:33:03 -0400,,
Google,1,2010-05-03 13:33:03 -0400,2010-05-03 13:33:03 -0400,,
