organizations,count,first_date,last_date,lat,lon
Senate,14,2011-08-08 12:10:07 -0400,2013-08-28 11:44:43 -0400,,
UNAM,1,2011-08-08 12:10:07 -0400,2011-08-08 12:10:07 -0400,,
Isthmus de Tehuantepec,1,2011-08-08 12:10:07 -0400,2011-08-08 12:10:07 -0400,,
NAFTA,1,2011-08-08 12:10:07 -0400,2011-08-08 12:10:07 -0400,,
US Armed Forces,1,2012-10-17 05:30:28 -0400,2012-10-17 05:30:28 -0400,,
Immigration Services,1,2012-10-17 05:30:28 -0400,2012-10-17 05:30:28 -0400,,
Navy Pier,1,2012-10-17 05:30:28 -0400,2012-10-17 05:30:28 -0400,,
Nassau Community College,1,2012-10-17 05:30:28 -0400,2012-10-17 05:30:28 -0400,,
The White House,1,2012-10-17 05:30:28 -0400,2012-10-17 05:30:28 -0400,,
Supreme Court,1,2012-10-17 05:30:28 -0400,2012-10-17 05:30:28 -0400,,
Immigration America,1,2012-10-17 05:30:28 -0400,2012-10-17 05:30:28 -0400,,
Mesoamerican Migrant Movement,2,2012-10-24 15:06:21 -0400,2012-10-24 15:06:21 -0400,,
Animal Politico,1,2012-10-24 15:06:21 -0400,2012-10-24 15:06:21 -0400,,
Somos El Medio,1,2012-10-24 15:06:21 -0400,2012-10-24 15:06:21 -0400,,
Institutos de Migración de los Gobiernos de Tlaxcala,1,2012-10-24 15:06:21 -0400,2012-10-24 15:06:21 -0400,,
Estados Unidos,4,2012-10-24 15:06:21 -0400,2012-10-24 15:06:21 -0400,,
Republican Party,2,2013-02-05 09:13:01 -0500,2013-02-05 09:13:01 -0500,,
Congress,5,2013-02-05 09:13:01 -0500,2013-07-09 14:30:28 -0400,,
Facebook,1,2013-02-20 07:15:20 -0500,2013-02-20 07:15:20 -0500,,
New York State Youth Leadership Council,1,2013-02-20 07:15:20 -0500,2013-02-20 07:15:20 -0500,,
BBC News,1,2013-02-20 07:15:20 -0500,2013-02-20 07:15:20 -0500,,
NBC,1,2013-02-20 07:15:20 -0500,2013-02-20 07:15:20 -0500,,
New York Magazine,1,2013-02-20 07:15:20 -0500,2013-02-20 07:15:20 -0500,,
North American Congress,2,2013-07-09 14:30:28 -0400,2013-07-09 14:30:28 -0400,,
NACLA,4,2013-07-09 14:30:28 -0400,2013-07-09 14:30:28 -0400,,
The North American Congress,6,2013-07-09 14:30:08 -0400,2013-08-28 11:44:43 -0400,,
House of Representatives,3,2013-07-09 14:30:08 -0400,2013-07-09 14:30:08 -0400,,
House of Representatives John Boehner,1,2013-07-09 14:30:08 -0400,2013-07-09 14:30:08 -0400,,
Republican,2,2013-07-09 14:30:08 -0400,2013-04-23 19:36:50 -0400,,
U.S. Supreme Court,1,2013-07-09 14:30:08 -0400,2013-07-09 14:30:08 -0400,,
Fisher v. University of Texas,1,2013-07-09 14:30:08 -0400,2013-07-09 14:30:08 -0400,,
Fifth Circuit Court,1,2013-07-09 14:30:08 -0400,2013-07-09 14:30:08 -0400,,
Florida Republican,1,2013-07-09 14:30:08 -0400,2013-07-09 14:30:08 -0400,,
Congressional Hispanic Caucus,1,2013-07-09 14:30:08 -0400,2013-07-09 14:30:08 -0400,,
Pollo Loco,1,2013-07-15 14:44:40 -0400,2013-07-15 14:44:40 -0400,,
U.S. Senate,1,2013-07-26 11:11:02 -0400,2013-07-26 11:11:02 -0400,,
Democrats,1,2013-07-26 11:11:02 -0400,2013-07-26 11:11:02 -0400,,
House,3,2013-07-26 11:11:02 -0400,2013-09-04 17:56:05 -0400,,
New York Times,2,2013-07-30 09:00:18 -0400,2013-07-30 09:00:18 -0400,,
Facebook by Action Family Unity,1,2013-08-28 11:44:43 -0400,2013-08-28 11:44:43 -0400,,
US Immigration and Customs Enforcement,1,2013-08-28 11:44:43 -0400,2013-08-28 11:44:43 -0400,,
US Consulate,1,2013-08-28 11:44:43 -0400,2013-08-28 11:44:43 -0400,,
Action for Family Unity,1,2013-08-28 11:44:43 -0400,2013-08-28 11:44:43 -0400,,
The Center for Public Integrity,1,2013-08-28 11:44:43 -0400,2013-08-28 11:44:43 -0400,,
Boston Marathon,1,2013-04-23 19:36:50 -0400,2013-04-23 19:36:50 -0400,,
Catholic Church,2,2013-04-23 19:36:50 -0400,2013-04-23 19:36:50 -0400,,
Nuestra Iglesia Católica,1,2013-04-23 19:36:50 -0400,2013-04-23 19:36:50 -0400,,
Associated Press,1,2013-04-23 19:36:50 -0400,2013-04-23 19:36:50 -0400,,
Washington Post,1,2013-04-23 19:36:50 -0400,2013-04-23 19:36:50 -0400,,
Apoyemos la Reforma Inmigratoria Comprensiva,1,2013-04-23 19:36:50 -0400,2013-04-23 19:36:50 -0400,,
Immigration Reform Rally,1,2013-11-08 18:07:05 -0500,2013-11-08 18:07:05 -0500,,
Reform Without Justice,1,2013-11-08 18:07:05 -0500,2013-11-08 18:07:05 -0500,,
IRCA,4,2013-09-04 17:56:05 -0400,2013-09-04 17:56:05 -0400,,
Border Patrol,1,2013-09-04 17:56:05 -0400,2013-09-04 17:56:05 -0400,,
Lower House,1,2013-10-10 10:17:45 -0400,2013-10-10 10:17:45 -0400,,
Republican Members of Congress,1,2013-10-10 10:17:45 -0400,2013-10-10 10:17:45 -0400,,
Chicago Rahm Emmanuel,1,2013-10-10 10:17:45 -0400,2013-10-10 10:17:45 -0400,,
Republican House,1,2013-10-10 10:17:45 -0400,2013-10-10 10:17:45 -0400,,
