organizations,count,first_date,last_date,lat,lon
Nosotros Sigamos Trabajando Construyendo,1,2014-02-15 13:55:20 -0500,2014-02-15 13:55:20 -0500,,
Patria,1,2014-02-15 13:55:20 -0500,2014-02-15 13:55:20 -0500,,
Universidad de Los Andes en Táchira,1,2014-02-15 13:55:20 -0500,2014-02-15 13:55:20 -0500,,
Miembros de la Guardia Nacional,1,2014-02-15 13:55:20 -0500,2014-02-15 13:55:20 -0500,,
Policía Nacional Bolivariana,1,2014-02-15 13:55:20 -0500,2014-02-15 13:55:20 -0500,,
University of the Andes,1,2014-02-15 13:55:20 -0500,2014-02-15 13:55:20 -0500,,
National Guard,5,2014-02-15 13:55:20 -0500,2014-02-18 17:59:11 -0500,,
Bolivarian State Police,1,2014-02-15 13:55:20 -0500,2014-02-15 13:55:20 -0500,,
PDVSA,1,2014-02-15 13:55:20 -0500,2014-02-15 13:55:20 -0500,,
¿Alguna vez,1,2014-02-15 13:55:20 -0500,2014-02-15 13:55:20 -0500,,
UCLA,1,2014-02-16 16:16:13 -0500,2014-02-16 16:16:13 -0500,,
Ucla Medicina,1,2014-02-16 16:16:13 -0500,2014-02-16 16:16:13 -0500,,
Barcelona,1,2014-02-16 16:16:13 -0500,2014-02-16 16:16:13 -0500,,
Venezuela National Guard,1,2014-02-16 16:16:13 -0500,2014-02-16 16:16:13 -0500,,
UNET,1,2014-02-16 16:16:13 -0500,2014-02-16 16:16:13 -0500,,
Global Voices Advocacy,1,2014-02-17 10:15:54 -0500,2014-02-17 10:15:54 -0500,,
Voluntad Popular party,1,2014-02-18 17:59:11 -0500,2014-02-18 17:59:11 -0500,,
Kaos en la Red,1,2014-02-19 10:01:06 -0500,2014-02-19 10:01:06 -0500,,
Parliament,1,2014-02-19 17:36:30 -0500,2014-02-19 17:36:30 -0500,,
Rafael Guerra Méndez Clinic,1,2014-02-19 20:43:14 -0500,2014-02-19 20:43:14 -0500,,
Miss Tourism Carabobo,1,2014-02-19 20:43:14 -0500,2014-02-19 20:43:14 -0500,,
Valencia,1,2014-02-19 20:43:14 -0500,2014-02-19 20:43:14 -0500,,
Caracas,1,2014-02-19 20:43:14 -0500,2014-02-19 20:43:14 -0500,,
State of Carabobo,1,2014-02-19 20:43:14 -0500,2014-02-19 20:43:14 -0500,,
Chávez Battle Units,1,2014-02-19 20:43:14 -0500,2014-02-19 20:43:14 -0500,,
Unidades de Batalla Bolívar,1,2014-02-19 20:43:14 -0500,2014-02-19 20:43:14 -0500,,
United Socialist Party of Venezuela,1,2014-02-19 20:43:14 -0500,2014-02-19 20:43:14 -0500,,
PSUV,1,2014-02-19 20:43:14 -0500,2014-02-19 20:43:14 -0500,,
Partido Socialista Unido de Venezuela,1,2014-02-19 20:43:14 -0500,2014-02-19 20:43:14 -0500,,
UBCH,1,2014-02-19 20:43:14 -0500,2014-02-19 20:43:14 -0500,,
National Assembly,2,2014-02-19 20:43:14 -0500,2014-02-19 20:43:14 -0500,,
Parliament Francisco Soteldo,1,2014-02-19 20:43:14 -0500,2014-02-19 20:43:14 -0500,,
Facebook,3,2014-02-20 18:09:58 -0500,2014-03-04 07:06:43 -0500,,
Últimas Noticias,1,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
Bolivarian National Intelligence Service,1,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
Bolivarian National Guard,1,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
Ortega Brothers,2,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
Altamira,2,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
Viene Por La Rómulo,1,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
PLOMO HACIA Los Edificios,1,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
UN,1,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
Hace Minutos,1,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
National Guard Forces,1,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
El Universitario,1,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
Manifestaciones en Caracas Durante Esta Noche,1,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
La Candelaria,2,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
Alba Ciudad,1,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
El Nuevo País,1,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
ABA,1,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
VTV,1,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
Caracas Chronicles,1,2014-02-20 18:09:58 -0500,2014-02-20 18:09:58 -0500,,
Caracas Chronicles Francisco Toro,1,2014-02-20 22:16:17 -0500,2014-02-20 22:16:17 -0500,,
BBC,1,2014-02-20 22:16:17 -0500,2014-02-20 22:16:17 -0500,,
The New York Times,1,2014-02-20 22:16:17 -0500,2014-02-20 22:16:17 -0500,,
CNN,6,2014-02-20 22:16:17 -0500,2014-03-04 06:25:25 -0500,,
Fox News,1,2014-02-20 22:16:17 -0500,2014-02-20 22:16:17 -0500,,
Simon Bolivar,1,2014-02-23 17:59:20 -0500,2014-02-23 17:59:20 -0500,,
OAS,2,2014-02-23 17:59:20 -0500,2014-03-06 14:00:25 -0500,,
Carabobo,1,2014-02-24 11:01:31 -0500,2014-02-24 11:01:31 -0500,,
Telesur,1,2014-02-27 16:06:12 -0500,2014-02-27 16:06:12 -0500,,
National Political Bureau of the Broad Front,1,2014-02-27 16:06:12 -0500,2014-02-27 16:06:12 -0500,,
National Executive Committee of the Movement of Popular Participation,1,2014-02-27 16:06:12 -0500,2014-02-27 16:06:12 -0500,,
Broad Left Front,9,2014-03-04 07:06:43 -0500,2014-03-04 07:06:43 -0500,,
Frente Amplio,1,2014-03-04 07:06:43 -0500,2014-03-04 07:06:43 -0500,,
Broad Front,1,2014-03-04 07:06:43 -0500,2014-03-04 07:06:43 -0500,,
Frente Amplio de Izquierda,1,2014-03-04 07:06:43 -0500,2014-03-04 07:06:43 -0500,,
El Comercio,1,2014-03-04 07:06:43 -0500,2014-03-04 07:06:43 -0500,,
Fuerza Social,1,2014-03-04 07:06:43 -0500,2014-03-04 07:06:43 -0500,,
National Human Rights Coordinator,1,2014-03-04 07:06:43 -0500,2014-03-04 07:06:43 -0500,,
Corte Interamericana de Derechos Humanos,1,2014-03-04 07:06:43 -0500,2014-03-04 07:06:43 -0500,,
Inter-American Court of Human Rights,1,2014-03-04 07:06:43 -0500,2014-03-04 07:06:43 -0500,,
National Police,1,2014-03-04 07:06:43 -0500,2014-03-04 07:06:43 -0500,,
Estados Unidos,1,2014-03-04 07:06:43 -0500,2014-03-04 07:06:43 -0500,,
Madruo 
 Post,1,2014-03-04 07:06:43 -0500,2014-03-04 07:06:43 -0500,,
CIA,3,2014-03-04 06:25:25 -0500,2014-03-04 06:25:25 -0500,,
Castros,1,2014-03-04 06:25:25 -0500,2014-03-04 06:25:25 -0500,,
Univisión,2,2014-03-04 06:25:25 -0500,2014-03-04 06:25:25 -0500,,
TeleMundo,4,2014-03-04 06:25:25 -0500,2014-03-04 06:25:25 -0500,,
La Carta de RUBEN,1,2014-03-04 06:25:25 -0500,2014-03-04 06:25:25 -0500,,
Tanto Molestó al Q Comete DELITOS DE LESA HUMANIDAD ARMANDO GRUPOS DE EXTERMINIO NMADURO,1,2014-03-04 06:25:25 -0500,2014-03-04 06:25:25 -0500,,
Discos Caracas,1,2014-03-05 18:17:00 -0500,2014-03-05 18:17:00 -0500,,
La Vida Boheme,2,2014-03-05 18:17:00 -0500,2014-03-05 18:17:00 -0500,,
PRI,1,2014-03-05 18:17:00 -0500,2014-03-05 18:17:00 -0500,,
La Vida Boheme Frontman Turns,1,2014-03-05 18:17:00 -0500,2014-03-05 18:17:00 -0500,,
Venezuelan Communications,1,2014-03-07 06:57:39 -0500,2014-03-07 06:57:39 -0500,,
Una Alianza Popular Revolucionaria de Rectificación Socialista,1,2014-03-07 06:57:39 -0500,2014-03-07 06:57:39 -0500,,
Revolutionary Popular Alliance of Socialist,1,2014-03-07 06:57:39 -0500,2014-03-07 06:57:39 -0500,,
National Bolivarian Guard Soldiers,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,,
Federation of Universities,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,,
Los Andes University,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,,
National Bolivarian Police,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,,
NGOs,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,,
Foro Penal Venezolano,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,,
Provea,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,,
Espacio Público,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,,
Ministry of Public Affairs,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,,
First Justice Party,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,,
Mesa de Unidad Democrática,1,2014-03-17 10:03:25 -0400,2014-03-17 10:03:25 -0400,,
