name,likely_byline_gender
Kounila Keo,Female
Anna Gotowska,Female
Altynbek Ismailov,Male
Tyler,Male
Daniel Alan Kennedy,Male
Katie Manning,Female
mydaydream,Unknown
Emma Brewin,Female
Nathan Jones,Male
Angela Munoz,Female
annie,Female
Ruwayda Mustafah,Female
Izumi Mihashi,Female
Carol Osborne,Female
ronald,Male
Fernando Sapelli,Male
Noon Arabia,Female
pradeepkumarsingh,Unknown
Annasoltan,Female
Anindita Gayatri,Female
Robert Valencia,Male
Mi Voz,Unknown
Ali Al Hasani,Male
Donna Welles,Female
Aulelia,Female
Ahmed Medien,Male
Endalk,Unknown
Ciara Nugent,Female
Elizabeth Tsurkov,Female
Evan,Male
Ylenia Gostoli,Female
eweket,Unknown
Oscar Howell,Male
Amanda Holland Fleig,Female
Vivienne Griffiths,Female
Counselor Track,Male
Hadi Nili,Male
Theodora Rowlands,Female
Mohamed Bacha,Male
Carol Bidwell,Female
Robb WJ Ellis,Male
David Silva,Male
Lee Hyun Min,Male
Steven Tang,Male
Nicola Gardner,Female
L. Finch,Unknown
Veroniki Krikoni,Female
Mihai Lucaciu,Male
Miran Hosny,Female
Solene TRETOUT,Unknown
Betsy Galbreath,Female
Mohamed Mesrati,Male
Rebecca Knaggs,Female
Kathryn Morgan,Female
Asel,Female
lelyuk,Unknown
carlsson,Unknown
Kazuko Ohchi,Female
Yohana de Andrade,Unknown
Isabel Guerra,Female
Amanda Mc Lane,Female
Andreea Ungureanu,Female
James Propa,Male
Nigar Hacizade,Female
kixes,Unknown
Bente Teigen Gundersen,Unknown
Dawn Smiley Montague,Female
Dieyna Ba,Female
Paola DOrazio,Female
Marvin Vann,Male
Aaron Ortiz,Male
Menna Alaa,Female
Shaun Samaroo,Male
Dan Cooper,Male
Jane Ellis,Female
Danijel Sivinjski,Male
Oana Maria Dan,Unknown
Chellsy Alis Manning,Unknown
Christine,Female
Cindi Loo,Female
Ismail Dhorat,Male
Vadim,Male
Tolkun,Male
Rami Alhames,Male
Valisoa Rambelo Ramanitra,Unknown
WITNESS,Unknown
mohamedadel,Unknown
Alex Higson,Male
Rayna St.,Female
Pablo Andres Rivero,Male
Alex Engwete,Male
Ahmed Quick,Male
Atlatszo.hu,Unknown
Kieran Lonergan,Male
Kelly Chung,Female
Richard Araujo,Male
kumail,Male
Bethany Gerdemann,Female
Alexia Kalaitzi,Female
Jenny Sin,Female
Aleksandar Atanasovski,Male
Andrew Kowalczuk,Male
Super Sub-Editor,Unknown
Glenna Gordon,Female
Tita Beaven,Female
Matthew Hunte,Male
Yasmeen El Khoudary,Female
C. Parra,Unknown
Joel Gilbourd,Male
Sarah Cooper,Female
Greg Ahlswede,Male
Natalia Laczko,Female
Alison Potter,Female
Rachel Horst,Female
Ola Anan,Female
Leonard,Male
D B Shobrawy,Unknown
Mirsulzhan Namazaliev,Male
Joshua Foust,Male
Arefaynie,Male
Cho,Male
Jens Wilkinson,Male
yangonthu,Female
Georgi McCarthy,Male
Tina Chan,Female
Ahmed Awadalla,Male
Danielle Martineau,Female
Ariane Defreine,Female
Aim Sinpeng,Female
Marc,Male
Violeta_Camarasa,Unknown
Christopher Kamp,Male
Kevin Rothrock,Male
Kevin Clayton,Male
Jea,Female
Super Sub-Editor 2,Unknown
salah.almhamdi,Unknown
Agung Harsya,Male
Julianne VanWagenen,Female
Victoria Warren,Female
Jon Lindsay Miles,Male
Mohammed Alamer,Male
Zachary Muhlenweg,Male
Super Translator,Unknown
Andrey Tselikov,Male
Sara Gold,Female
Rikki Brown,Female
Mostafa Hussein,Male
Mark Wagner,Male
Antonio Lopez,Male
Iryna Natalushko,Female
Philemon Msangi,Male
T10,Unknown
T9,Unknown
T8,Unknown
T7,Unknown
T6,Unknown
T5,Unknown
T4,Unknown
T3,Unknown
T2,Unknown
T1,Unknown
Diego Bianchi,Male
udell.db,Male
Ashna Shareff,Female
Jummana Kahlout,Female
tonyocruz,Unknown
Maha Elsanosi,Female
Valentina Vegso,Female
FN,Unknown
Joey Ayoub,Male
Laween Atroshi,Male
Stratos Moraitis,Male
Isabella Mukanda-Shamambo,Female
Meng,Male
chong,Unknown
Alexander Sodiqov,Male
Augis Barkov,Male
Will Masters,Male
Vulanga Akhmedova,Female
Anna Fergana,Female
Bronwyn,Female
Anita Hunt,Female
Omid Bidar,Male
kowshik,Male
Musharraf,Male
Ahmet Yilmaz Vural,Unknown
Saikal Nogoibaeva,Female
Venera,Female
Super Sub-Editor 1,Unknown
Asel Tursunbekova,Female
Sara Saghaei,Female
morgangibson,Unknown
Steven Hermans,Male
debolina,Female
Rana Baker,Female
Neil.Sadler,Unknown
Alán Flores,Unknown
Ramata,Female
Francois Bacha,Male
jonl,Male
Karim,Male
Sahar Habib Ghazi,Unknown
Alan Bailey,Male
Gloria Wang,Female
Diana Aqra,Female
Niamh McNamara,Female
Begimay Shekeyeva,Female
Osama Khalid,Male
meem,Unknown
Andre Ruette,Male
Aya Chebbi,Female
Tatiana Ozerov,Female
Altynai Sydykova,Female
Rhodri ap Dyfrig,Unknown
Atai Muratbekov,Male
Tessa Houghton,Female
Hannah McKeeth Moreno,Female
Evgeniy Genievskiy,Male
Ifan Jones,Male
Karl Soper,Male
inmediahk.net,Unknown
Super Sub-Editor 3,Unknown
Super Sub-Editor 4,Unknown
Super Sub-Editor 5,Unknown
Super Sub-Editor 6,Unknown
Carl Morris,Male
Andrew Young,Male
Yulia Lukashina,Female
Lydia Beyoud,Female
Brenda Zulu,Female
Mustapha,Male
Yavor Mihaylov,Male
Stan Faryna,Male
Nishadha Silva,Male
Razan Ghazzawi,Female
danielduende,Unknown
Naruto,Male
Kelly Proctor,Female
Yuka Miller,Female
Muna Annahas,Female
kayode,Male
DrPolitics,Unknown
Rebecca Wanjiku,Female
Charles Feng,Male
Tu Van Cong,Male
Lola Koundakjian,Female
Taku Nakajima,Male
Raza Rumi,Male
Alan Davidson,Male
Skye Hernandez,Female
Margarete Hurn Minar,Female
Yasmine Abu Khazneh,Female
micosantos,Male
Nash Suleiman,Male
Amilcar da Paz,Unknown
Mahmood Al-Yousif,Male
Ayman Haykal,Male
Michael Castro,Male
Natalie Jesionka,Female
Debora Medeiros,Female
Sanjay Sharma,Male
Ian Chesley,Male
Jon Gosier,Male
Deborah Goldemberg,Female
Bianca Welds,Female
Ahmed Salem,Male
Adam Klempner,Male
Philippe Khoury,Unknown
Yantao Bi,Male
Alvaro Berroteran,Male
Noor Hidayah,Female
Yelena Jetpysbayeva,Female
Beckie Loewenstein,Female
Claudia Cadelo,Female
Emil Mammadov,Male
Ali S. Novruzov,Male
Denford Magora,Male
Heather Ford,Female
Martin Manurung,Male
Teddy Ruge,Male
Andrea Fenn,Female
Ruchika Muchhala,Female
Bogomil Shopov,Male
Eunice del Rosario,Female
Seila Prum,Male
Carlos Dutra,Male
jertest,Unknown
Rodrigo Alvares,Male
Markpeak,Female
Gabriel Borges,Male
Timothy Kasolo,Male
Celeste Calvet,Female
Rami Abdelrahman,Male
Salam Pax,Male
Eusebia Madziwa,Male
Amer Al-Hilal,Male
Jad Madi,Male
Liat Nguyen,Female
Hash,Male
sassylawyer,Unknown
Khalid Omar,Male
Mikhail Larchanka,Male
Ruth Collins,Female
Mahangu,Male
Mikola Andrejeu,Male
huma,Female
Carmen Ferreiro,Female
henrychan,Unknown
Marina Noordin,Female
Marisol Ramos,Female
yongliu,Unknown
Dean CóRnito,Male
